Saída TERMINAL;TRAJETO;Veículos
;;
13:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
14:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
14:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
15:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
16:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
17:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
18:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
19:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
20:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
21:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
22:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
22:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
23:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
00:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
00:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
00:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
;;
Saída Alfândega;TRAJETO;Veículos
;;
05:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
06:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
07:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
07:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
